	wl	u*	g'	i'	r'	z'		 
	516	0.7065	81.2	0.0061	0.1816	0.0076
	514	0.8514	82.2	0.0076	0.1877	0.0076
	512	0.9949	83.37	0.0076	0.1968	0.0076
	510	1.137	84.38	0.0076	0.206	0.0076
	508	1.277	84.99	0.0076	0.2151	0.0076
	506	1.407	85.27	0.0046	0.2258	0.0076
	504	1.489	85.52	0.0046	0.2396	0.0076
	502	1.486	86.24	0.0046	0.2548	0.0076
	500	1.376	87.66	0.0061	0.2731	0.0076
	498	1.176	89.56	0.0076	0.2914	0.0076
	496	0.9369	91.36	0.0076	0.3082	0.0076
	494	0.7111	92.59	0.0092	0.325	0.0076
	492	0.5325	93.17	0.0122	0.351	0.0076
	490	0.4059	93.38	0.0137	0.383	0.0076
	488	0.3174	93.55	0.0137	0.4196	0.0076
	486	0.2533	93.77	0.0137	0.4501	0.0076
	484	0.2045	93.95	0.0122	0.4669	0.0076
	482	0.1709	93.89	0.0107	0.47	0.0076
	480	0.148	93.51	0.0092	0.4654	0.0076
	478	0.1297	92.84	0.0076	0.4608	0.0076
	476	0.1129	92.08	0.0076	0.4593	0.0076
	474	0.1038	91.5	0.0092	0.4578	0.0076
	472	0.0946	91.31	0.0122	0.4501	0.0076
	470	0.087	91.62	0.0137	0.4379	0.0076
	468	0.0839	92.32	0.0153	0.4257	0.0076
	466	0.0793	93.19	0.0168	0.4211	0.0076
	464	0.0763	93.86	0.0153	0.4211	0.0076
	462	0.0763	94.08	0.0137	0.4166	0.0076
	460	0.0778	93.75	0.0137	0.3983	0.0076
	458	0.0809	92.95	0.0122	0.3677	0.0076
	456	0.0839	92.03	0.0137	0.3418	0.0076
	454	0.0916	91.35	0.0137	0.3326	0.0076
	452	0.0977	91.13	0.0137	0.3403	0.0076
	450	0.1053	91.29	0.0137	0.351	0.0076
	448	0.1129	91.49	0.0137	0.354	0.0061
	446	0.1221	91.38	0.0153	0.3464	0.0076
	444	0.1358	90.87	0.0168	0.3387	0.0076
	442	0.1511	90.11	0.0183	0.3448	0.0076
	440	0.1724	89.51	0.0183	0.3586	0.0092
	438	0.2029	89.41	0.0183	0.3693	0.0092
	436	0.2441	89.78	0.0198	0.3723	0.0092
	434	0.3036	90.27	0.0198	0.3662	0.0092
	432	0.3906	90.28	0.0198	0.3677	0.0092
	430	0.5295	89.72	0.0198	0.3799	0.0076
	428	0.7492	88.86	0.0198	0.3998	0.0076
	426	1.111	88.21	0.0214	0.4257	0.0061
	424	1.727	87.68	0.0229	0.4547	0.0061
	422	2.805	85.89	0.0244	0.4822	0.0076
	420	4.765	80.97	0.0259	0.5142	0.0092
	418	8.371	71.45	0.0259	0.5356	0.0107
	416	14.56	57.89	0.0259	0.5478	0.0092
	414	23.86	42.51	0.0259	0.5493	0.0092
	412	35.63	28.11	0.0259	0.5325	0.0092
	410	47.98	17	0.0259	0.5081	0.0092
	408	58.8	9.628	0.0259	0.4715	0.0107
	406	66.59	5.373	0.0259	0.4288	0.0092
	404	71.23	3.198	0.0259	0.3799	0.0076
	402	73.49	2.083	0.0259	0.3296	0.0076
	400	74.16	1.501	0.0259	0.2808	0.0061
	398	73.84	1.183	0.0259	0.2365	0.0076
	396	72.77	0.9705	0.0244	0.2014	0.0092
	394	71.86	0.8087	0.0229	0.1694	0.0076
	392	71.99	0.6805	0.0229	0.1373	0.0076
	390	73.36	0.5753	0.0214	0.1038	0.0061
	388	75	0.4883	0.0214	0.0687	0.0046
	386	75.28	0.412	0.0214	0.0412	0.0061
	384	73.18	0.3479	0.0214	0.0214	0.0061
	382	68.9	0.2899	0.0214	0.0107	0.0061
	380	64.05	0.2319	0.0214	0.0092	0.0061
	378	60.01	0.177	0.0198	0.0092	0.0061
	376	57.97	0.1236	0.0183	0.0076	0.0061
	374	58.43	0.0793	0.0168	0.0076	0.0061
	372	61.01	0.0458	0.0137	0.0061	0.0061
	370	65.31	0.0275	0.0122	0.0046	0.0046
	368	69.66	0.0168	0.0107	0.0046	0.0046
	366	72.65	0.0122	0.0107	0.0046	0.0046
	364	74.04	0.0107	0.0092	0.0046	0.0046
	362	74.14	0.0076	0.0061	0.0031	0.0031
	360	74.78	0.0076	0.0061	0.0031	0.0031
	358	76.89	0.0046	0.0046	0.0031	0.0031
	356	78.63	0.0046	0.0046	0.0031	0.0031
	354	78.95	0.0076	0.0031	0.0031	0.0031
	352	77.7	0.0076	0.0015	0.0015	0.0015
	350	75.04	0.0122	0.0015	0.0015	0.0015
	348	71.85	0.0153	0.0015	0.0015	0.0015
	346	68.58	0.0183	0.0015	0.0015	0.0015
	344	66.06	0.0214	0.0015	0.0015	0.0031
	342	64.03	0.0229	0.0015	0.0015	0.0031
	340	60.44	0.0244	0.0015	0.0031	0.0031
	338	53.45	0.0275	0.0031	0.0015	0.0046
	336	42.41	0.0305	0.0015	0.0015	0.0031
	334	29.12	0.0336	0.0015	0.0015	0.0046
	332	17.01	0.0381	0.0015	0	0.0046
	330	8.403	0.0412	0	0.0015	0.0046
	328	3.697	0.0443	0.0015	0.0015	0.0061
	326	1.727	0.0473	0.0015	0.0031	0.0046
	324	0.9995	0.0504	0	0.0046	0.0046
	322	0.6729	0.0549	0	0.0046	0.0046
	320	0.4745	0.058	0	0.0046	0.0046
	318	0.3235	0.061	0	0.0031	0.0031
	316	0.2075	0.0626	0	0.0031	0.0031
	314	0.1282	0.0626	0	0.0031	0.0031
	312	0.0763	0.061	0	0.0031	0.0031
	310	0.0504	0.061	0	0.0046	0.0046
	308	0.0351	0.0671	0	0.0046	0.0046
	306	0.0275	0.0763	0	0.0046	0.0046
	304	0.0229	0.0854	0	0.0046	0.0031
	302	0.0183	0.087	0	0.0031	0.0031
	300	0.0153	0.0839	0	0.0031	0.0015
