# lambda    trans   
  17480.0   97.604  
  17485.0   97.69   
  17490.0   97.746  
  17495.0   97.737  
  17500.0   97.757  
  17505.0   97.748  
  17510.0   97.8    
  17515.0   97.816  
  17520.0   97.812  
  17525.0   97.746  
  17530.0   97.789  
  17535.0   97.804  
  17540.0   97.868  
  17545.0   97.884  
  17550.0   97.902  
  17555.0   97.928  
  17560.0   97.942  
  17565.0   97.913  
  17570.0   97.874  
  17575.0   97.923  
  17580.0   97.881  
  17585.0   97.966  
  17590.0   97.966  
  17595.0   97.916  
  17600.0   97.818  
  17605.0   97.797  
  17610.0   97.705  
  17615.0   97.595  
  17620.0   97.531  
  17625.0   97.314  
  17630.0   97.144  
  17635.0   96.968  
  17640.0   96.773  
  17645.0   96.501  
  17650.0   96.153  
  17655.0   95.728  
  17660.0   95.221  
  17665.0   94.72   
  17670.0   94.113  
  17675.0   93.465  
  17680.0   92.772  
  17685.0   91.962  
  17690.0   91.045  
  17695.0   90.099  
  17700.0   88.988  
  17705.0   87.799  
  17710.0   86.488  
  17715.0   85.303  
  17720.0   84.001  
  17725.0   82.642  
  17730.0   81.192  
  17735.0   79.675  
  17740.0   78.027  
  17745.0   76.274  
  17750.0   74.406  
  17755.0   72.34   
  17760.0   70.166  
  17765.0   67.912  
  17770.0   65.556  
  17775.0   63.095  
  17780.0   60.718  
  17785.0   58.296  
  17790.0   55.852  
  17795.0   53.363  
  17800.0   50.836  
  17805.0   48.346  
  17810.0   45.946  
  17815.0   43.593  
  17820.0   41.208  
  17825.0   38.882  
  17830.0   36.705  
  17835.0   34.473  
  17840.0   32.426  
  17845.0   30.467  
  17850.0   28.529  
  17855.0   26.657  
  17860.0   24.918  
  17865.0   23.262  
  17870.0   21.683  
  17875.0   20.296  
  17880.0   18.916  
  17885.0   17.546  
  17890.0   16.38   
  17895.0   15.231  
  17900.0   14.175  
  17905.0   13.235  
  17910.0   12.286  
  17915.0   11.447  
  17920.0   10.6    
  17925.0   9.853   
  17930.0   9.145   
  17935.0   8.49    
  17940.0   7.903   
  17945.0   7.304   
  17950.0   6.781   
  17955.0   6.219   
  17960.0   5.777   
  17965.0   5.406   
  17970.0   5.023   
  17975.0   4.7     
  17980.0   4.416   
  17985.0   4.143   
  17990.0   3.906   
  17995.0   3.687   
  18000.0   3.476   
  18005.0   3.215   
  18010.0   3.011   
  18015.0   2.785   
  18020.0   2.539   
  18025.0   2.341   
  18030.0   2.132   
  18035.0   1.942   
  18040.0   1.804   
  18045.0   1.736   
  18050.0   1.649   
  18055.0   1.549   
  18060.0   1.491   
  18065.0   1.389   
  18070.0   1.35    
  18075.0   1.28    
  18080.0   1.187   
  18085.0   1.048   
  18090.0   0.943   
  18095.0   0.891   
  18100.0   0.793   
  18105.0   0.717   
  18110.0   0.62    
  18115.0   0.555   
  18120.0   0.488   
  18125.0   0.479   
  18130.0   0.424   
  18135.0   0.38    
  18140.0   0.381   
  18145.0   0.371   
  18150.0   0.372   
  18155.0   0.339   
  18160.0   0.362   
  18165.0   0.351   
  18170.0   0.328   
  18175.0   0.317   
  18180.0   0.261   
  18185.0   0.25    
  18190.0   0.285   
  18195.0   0.308   
  18200.0   0.298   
  18205.0   0.298   
  18210.0   0.333   
  18215.0   0.333   
  18220.0   0.345   
  18225.0   0.333   
  18230.0   0.31    
  18235.0   0.252   
  18240.0   0.16    
  18245.0   0.137   
  18250.0   0.102   
  18255.0   0.079   
  18260.0   0.092   
  18265.0   0.046   
  18270.0   -0.012  
  18275.0   0.011   
  18280.0   0.092   
  18285.0   0.093   
  18290.0   0.105   
  18295.0   0.117   
  18300.0   0.107   
  18305.0   0.165   
  18310.0   0.2     
  18315.0   0.261   
  18320.0   0.226   
  18325.0   0.153   
  18330.0   0.043   
  18335.0   0.032   
  18340.0   -0.0050 
  18345.0   -0.0030 
  18350.0   -0.078  
  18355.0   -0.087  
  18360.0   -0.011  
  18365.0   0.014   
  18370.0   0.113   
  18375.0   0.075   
  18380.0   0.099   
  18385.0   0.063   
  18390.0   0.189   
  18395.0   0.089   
  18400.0   0.05    
  18405.0   0.087   
  18410.0   0.075   
  18415.0   0.089   
  18420.0   0.076   
  18425.0   0.125   
  18430.0   0.000
  18600.0   0.000
