6.71	0	0.01		-0.01	0.01
6.72	0	0.01		-0.01	0.01
6.73	0	0		-0.01	0
6.74	0	0		-0.01	0
6.75	0	0		0	0
6.76	0	0		0	0
6.77	0	0		0	0
6.78	0	0		0.01	0
6.79	0	0		0.01	0
6.80	0	0		0.01	0
6.81	0	0		0	0
6.82	0.01	0		0	0
6.83	0	0		0	0
6.84	0	0		0.01	0
6.85	0.01	0		0.01	0
6.86	0.01	0		0.01	0
6.87	0.01	0		0.01	0
6.88	0	0		0.01	0
6.89	-0.01	0		0.01	0
6.90	0	0		0.01	0
6.91	0	0		0	0
6.92	0	0		0	0
6.93	0.01	0		0	0
6.94	0.01	0		0	0
6.95	0.01	0		0	0
6.96	0.01	0		0.01	0
6.97	0.01	0		0	0
6.98	0.01	0		0	0
6.99	0.01	0		0	0
7.00	0.01	0		0	0
7.01	0.01	0		0	0
7.02	0	0		0.01	0
7.03	0	0		0.01	0
7.04	0	0.01		0.01	0.01
7.05	0.01	0.01		0	0.01
7.06	0.01	0		0.01	0
7.07	0.01	0		0.01	0
7.08	0.01	0		0.01	0
7.09	0.01	0.01		0	0.01
7.10	0.01	0		0	0
7.11	0.01	0		0	0
7.12	0	0.01		0	0.01
7.13	0	0.01		0	0.01
7.14	0	0		0	0
7.15	0	0		0	0
7.16	0	0		0	0
7.17	0	0		0	0
7.18	0	0		0	0
7.19	0	0		0	0
7.20	-0.01	0		0	0
7.21	0	0		0	0
7.22	0	0		0	0
7.23	0	0		0	0
7.24	0.01	0		0	0
7.25	0.01	0		0	0
7.26	0.01	0		0	0
7.27	0	0		0	0
7.28	0	0		0	0
7.29	-0.01	0		0	0
7.30	0	0		0	0
7.31	0	0		0	0
7.32	-0.01	0		0	0
7.33	0	0		0.01	0
7.34	0	0		0.01	0
7.35	0	0		0	0
7.36	-0.01	0		0	0
7.37	-0.01	0		0	0
7.38	-0.01	0		0	0
7.39	0	0		0	0
7.40	0.01	0		0	0
7.41	0.01	0		0.01	0
7.42	0.01	0		0	0
7.43	0	0		0	0
7.44	0	0		0	0
7.45	0	0		0	0
7.46	0	0		0	0
7.47	0	0		0	0
7.48	0	0		0	0
7.49	0	0		0.01	0
7.50	0	0		0.01	0
7.51	0	0		0.01	0
7.52	0	0		0.01	0
7.53	0	0		0.01	0
7.54	-0.01	0		0.01	0
7.55	0	0		0.01	0
7.56	0	0		0.01	0
7.57	0	0		0.01	0
7.58	0	0.01		0.01	0.01
7.59	-0.01	0.01		0	0.01
7.60	0	0.01		0	0.01
7.61	0	0		0	0
7.62	0.01	0		0	0
7.63	0.01	0		0	0
7.64	0	0		0.01	0
7.65	0	0		0	0
7.66	0	0.01		0	0.01
7.67	0.01	0.01		0	0.01
7.68	0.01	0		0	0
7.69	0	0		0	0
7.70	0	0.01		0	0.01
7.71	0	0.01		0	0.01
7.72	0	0		0	0
7.73	0	0		0	0
7.74	0	0		0	0
7.75	0	0		0	0
7.76	0	0		0	0
7.77	0	0		0	0
7.78	0	0		0	0
7.79	0	0		0	0
7.80	0	0.01		0	0.01
