microns	transmission
2.707	0.924568367
2.708	0.924926422
2.709	0.925282765
2.71	0.925635893
2.711	0.925984325
2.712	0.926326612
2.713	0.926661347
2.714	0.92698717
2.715	0.927302775
2.716	0.927606919
2.717	0.92789843
2.718	0.92817621
2.719	0.928439242
2.72	0.928686599
2.721	0.928917446
2.722	0.929131047
2.723	0.929326767
2.724	0.929504079
2.725	0.929662563
2.726	0.929801914
2.727	0.929921938
2.728	0.930022558
2.729	0.930103809
2.73	0.930165845
2.731	0.930208931
2.732	0.930233444
2.733	0.930239873
2.734	0.930228809
2.735	0.930200949
2.736	0.930157085
2.737	0.930098104
2.738	0.930024977
2.739	0.929938757
2.74	0.929840571
2.741	0.929731611
2.742	0.929613128
2.743	0.929486424
2.744	0.929352845
2.745	0.929213771
2.746	0.929070607
2.747	0.928924778
2.748	0.928777718
2.749	0.92863086
2.75	0.928485634
2.751	0.928343453
2.752	0.928205706
2.753	0.928073756
2.754	0.927948926
2.755	0.927832497
2.756	0.927725697
2.757	0.927629703
2.758	0.927545625
2.759	0.92747451
2.76	0.927417333
2.761	0.927374993
2.762	0.92734831
2.763	0.927338023
2.764	0.927344784
2.765	0.92736916
2.766	0.927411627
2.767	0.927472572
2.768	0.927552288
2.769	0.927650977
2.77	0.927768751
2.771	0.927905625
2.772	0.928061527
2.773	0.92823629
2.774	0.92842966
2.775	0.928641294
2.776	0.928870763
2.777	0.929117552
2.778	0.929381068
2.779	0.929660634
2.78	0.929955501
2.781	0.930264845
2.782	0.930587772
2.783	0.930923323
2.784	0.931270478
2.785	0.931628157
2.786	0.93199523
2.787	0.932370514
2.788	0.932752786
2.789	0.933140782
2.79	0.933533206
2.791	0.933928733
2.792	0.934326016
2.793	0.934723693
2.794	0.935120388
2.795	0.935514724
2.796	0.935905325
2.797	0.936290822
2.798	0.936669864
2.799	0.937041117
2.8	0.937403278
2.801	0.937754872
2.802	0.938094883
2.803	0.938422131
2.804	0.938735491
2.805	0.939033896
2.806	0.939316344
2.807	0.939581903
2.808	0.939829717
2.809	0.940059011
2.81	0.940269092
2.811	0.94045936
2.812	0.940629305
2.813	0.940778512
2.814	0.940906667
2.815	0.941013551
2.816	0.941099052
2.817	0.941163157
2.818	0.941205954
2.819	0.941227635
2.82	0.941228492
2.821	0.941208915
2.822	0.94116939
2.823	0.941110499
2.824	0.941032911
2.825	0.940937382
2.826	0.940824748
2.827	0.940695921
2.828	0.940551886
2.829	0.940393688
2.83	0.940222433
2.831	0.940039278
2.832	0.939845424
2.833	0.93964211
2.834	0.939430605
2.835	0.939212201
2.836	0.938988206
2.837	0.938759935
2.838	0.938528708
2.839	0.938295833
2.84	0.938062611
2.841	0.93783032
2.842	0.937600212
2.843	0.937373508
2.844	0.937151387
2.845	0.936934988
2.846	0.936725399
2.847	0.936523653
2.848	0.936330724
2.849	0.936147524
2.85	0.935974898
2.851	0.93581362
2.852	0.935664393
2.853	0.935527843
2.854	0.935404517
2.855	0.935294887
2.856	0.935199342
2.857	0.935118189
2.858	0.935051654
2.859	0.934999882
2.86	0.934962935
2.861	0.934940795
2.862	0.934933362
2.863	0.934940459
2.864	0.934961829
2.865	0.934997143
2.866	0.935045993
2.867	0.935107905
2.868	0.935182332
2.869	0.935268663
2.87	0.935366224
2.871	0.935474278
2.872	0.935592036
2.873	0.935718653
2.874	0.935853234
2.875	0.93599484
2.876	0.93614249
2.877	0.936295167
2.878	0.936451817
2.879	0.936611362
2.88	0.936772695
2.881	0.936934693
2.882	0.937096215
2.883	0.937256111
2.884	0.937413226
2.885	0.937566402
2.886	0.937714486
2.887	0.937856333
2.888	0.937990814
2.889	0.938116816
2.89	0.938233249
2.891	0.938339053
2.892	0.9384332
2.893	0.938514699
2.894	0.9385826
2.895	0.938636002
2.896	0.938674051
2.897	0.938695952
2.898	0.938700965
2.899	0.938688413
2.9	0.938657685
2.901	0.938608241
2.902	0.93853966
2.903	0.938451547
2.904	0.938343585
2.905	0.938215535
2.906	0.938067237
2.907	0.937898613
2.908	0.937709668
2.909	0.937500491
2.91	0.937271252
2.911	0.937022205
2.912	0.936753687
2.913	0.936466116
2.914	0.936159988
2.915	0.935835881
2.916	0.935494446
2.917	0.935136409
2.918	0.934762566
2.919	0.934373781
2.92	0.933970982
2.921	0.933555157
2.922	0.933127351
2.923	0.93268866
2.924	0.932240229
2.925	0.931783243
2.926	0.931318928
2.927	0.930848542
2.928	0.93037337
2.929	0.929894721
2.93	0.929413922
2.931	0.928932312
2.932	0.928451236
2.933	0.927972044
2.934	0.927496081
2.935	0.927024685
2.936	0.926559182
2.937	0.926100881
2.938	0.925651069
2.939	0.925211005
2.94	0.924781919
2.941	0.924365009
2.942	0.923961432
2.943	0.923572303
2.944	0.923198696
2.945	0.922841632
2.946	0.922502086
2.947	0.922180976
2.948	0.921879166
2.949	0.921597463
2.95	0.921336611
2.951	0.921097296
2.952	0.920880141
2.953	0.920685704
2.954	0.920514477
2.955	0.92036689
2.956	0.920243304
2.957	0.920144015
2.958	0.920069252
2.959	0.920019179
2.96	0.919993891
2.961	0.919993419
2.962	0.92001773
2.963	0.920066725
2.964	0.920140242
2.965	0.920238056
2.966	0.920359881
2.967	0.92050537
2.968	0.92067412
2.969	0.920865667
2.97	0.921079495
2.971	0.92131503
2.972	0.921571651
2.973	0.921848682
2.974	0.922145401
2.975	0.92246104
2.976	0.922794785
2.977	0.923145783
2.978	0.92351314
2.979	0.923895923
2.98	0.924293167
2.981	0.924703874
2.982	0.925127015
2.983	0.925561535
2.984	0.926006353
2.985	0.926460369
2.986	0.926922462
2.987	0.927391495
2.988	0.927866318
2.989	0.928345771
2.99	0.928828687
