microns	reflection
1.415	0.994977983
1.416	0.99511293
1.417	0.995230789
1.418	0.995333099
1.419	0.995421181
1.42	0.995496162
1.421	0.995559004
1.422	0.995610523
1.423	0.995651407
1.424	0.995682232
1.425	0.995703472
1.426	0.995715513
1.427	0.995718662
1.428	0.995713152
1.429	0.99569915
1.43	0.995676763
1.431	0.995646041
1.432	0.995606985
1.433	0.995559544
1.434	0.995503622
1.435	0.995439084
1.436	0.995365752
1.437	0.995283414
1.438	0.995191825
1.439	0.995090712
1.44	0.994979777
1.441	0.994858703
1.442	0.994727158
1.443	0.994584803
1.444	0.994431307
1.445	0.994266353
1.446	0.994089663
1.447	0.993901011
1.448	0.993700251
1.449	0.993487342
1.45	0.993262379
1.451	0.993025623
1.452	0.992777546
1.453	0.992518864
1.454	0.992250574
1.455	0.991973995
1.456	0.991690792
1.457	0.991402989
1.458	0.991112974
1.459	0.990823465
1.46	0.990537463
1.461	0.990258159
1.462	0.989988818
1.463	0.989732624
1.464	0.989492512
1.465	0.989270983
1.466	0.989069931
1.467	0.988890497
1.468	0.988732971
1.469	0.98859676
1.47	0.988480424
1.471	0.988381798
1.472	0.988298184
1.473	0.988226608
1.474	0.98816412
1.475	0.988108131
1.476	0.988056747
1.477	0.988009096
1.478	0.987965606
1.479	0.987928204
1.48	0.987900393
1.481	0.98788717
1.482	0.987894734
1.483	0.987929977
1.484	0.987999772
1.485	0.988110138
1.486	0.988265405
1.487	0.988467536
1.488	0.988715748
1.489	0.989006524
1.49	0.989333997
1.491	0.989690615
1.492	0.990067936
1.493	0.990457414
1.494	0.990851038
1.495	0.991241784
1.496	0.991623857
1.497	0.991992756
1.498	0.992345212
1.499	0.992679045
1.5	0.992992985
1.501	0.993247321
1.502	0.993483127
1.503	0.993700559
1.504	0.99390004
1.505	0.994082177
1.506	0.994247678
1.507	0.994397306
1.508	0.994531831
1.509	0.994652007
1.51	0.994758548
1.511	0.994852116
1.512	0.994933313
1.513	0.995002674
1.514	0.995060667
1.515	0.995107688
1.516	0.995144064
1.517	0.99517005
1.518	0.995185833
1.519	0.995191529
1.52	0.995187184
1.521	0.995172771
1.522	0.995148193
1.523	0.995113278
1.524	0.995067776
1.525	0.995011357
1.526	0.994943604
1.527	0.994864012
1.528	0.99477198
1.529	0.994666804
1.53	0.994547677
1.531	0.99441368
1.532	0.994263773
1.533	0.994096791
1.534	0.993911407
1.535	0.993706109
1.536	0.993479151
1.537	0.993228539
1.538	0.992952011
1.539	0.992647039
1.54	0.99231082
1.541	0.991940266
1.542	0.991531995
1.543	0.99108232
1.544	0.990587268
1.545	0.99004261
1.546	0.989443933
1.547	0.988786753
1.548	0.988066706
1.549	0.987279813
1.55	0.986422876
1.551	0.985494
1.552	0.984493292
1.553	0.983423726
1.554	0.982292167
1.555	0.981110485
1.556	0.979896617
1.557	0.978675349
1.558	0.977478516
1.559	0.976344231
1.56	0.975314877
1.561	0.97443372
1.562	0.973740437
1.563	0.973266227
1.564	0.973029524
1.565	0.973033351
1.566	0.973265003
1.567	0.973698099
1.568	0.974296401
1.569	0.975018432
1.57	0.975821871
1.571	0.976667029
1.572	0.977519085
1.573	0.978349116
1.574	0.979134183
1.575	0.979856788
1.576	0.980503988
1.577	0.981066426
1.578	0.981537385
1.579	0.981912002
1.58	0.982186659
1.581	0.9823586
1.582	0.982425802
1.583	0.982387124
1.584	0.982242784
1.585	0.981995179
1.586	0.981650083
1.587	0.981218221
1.588	0.980717185
1.589	0.980173406
1.59	0.979623471
1.591	0.979113638
1.592	0.978696378
1.593	0.978423489
1.594	0.978336797
1.595	0.978459126
1.596	0.978788983
1.597	0.979301216
1.598	0.979953332
1.599	0.980694774
1.6	0.981475785
1.601	0.98219745
1.602	0.982886178
1.603	0.983518652
1.604	0.984079914
1.605	0.984561436
1.606	0.984959166
1.607	0.985271865
1.608	0.985499808
1.609	0.985643849
1.61	0.98570476
1.611	0.98568279
1.612	0.985577363
1.613	0.985386873
1.614	0.985108548
1.615	0.984738354
1.616	0.98427094
1.617	0.983699632
1.618	0.983016501
1.619	0.982212553
1.62	0.981278109
1.621	0.980203499
1.622	0.978980221
1.623	0.977602783
1.624	0.976071479
1.625	0.974396318
1.626	0.9726022
1.627	0.970734985
1.628	0.968867343
1.629	0.967102063
1.63	0.965569367
1.631	0.964414635
1.632	0.963775253
1.633	0.963750608
1.634	0.964375223
1.635	0.965606963
1.636	0.967336593
1.637	0.969414622
1.638	0.97168374
1.639	0.974005153
1.64	0.976272967
1.641	0.978416982
1.642	0.980397689
1.643	0.982197853
1.644	0.983814303
1.645	0.98525211
1.646	0.986521333
1.647	0.987635201
1.648	0.98860868
1.649	0.98945716
1.65	0.990195423
1.651	0.990837005
1.652	0.991393901
1.653	0.991876519
1.654	0.992293759
1.655	0.992653148
1.656	0.992960998
1.657	0.99322255
1.658	0.993442107
1.659	0.993623149
1.66	0.993768415
1.661	0.993879977
1.662	0.993959294
1.663	0.994007234
1.664	0.994024095
1.665	0.994009597
1.666	0.993962856
1.667	0.993882336
1.668	0.993765779
1.669	0.993610102
1.67	0.993411267
1.671	0.993164098
1.672	0.99286206
1.673	0.992496976
1.674	0.992058675
1.675	0.991534572
1.676	0.99090919
1.677	0.990163652
1.678	0.989275232
1.679	0.988217181
1.68	0.986959206
1.681	0.985469367
1.682	0.983718682
1.683	0.981690449
1.684	0.979396758
1.685	0.976903632
1.686	0.974361235
1.687	0.972023907
1.688	0.970230506
1.689	0.96931842
1.69	0.969489463
1.691	0.9707102
1.692	0.972727842
1.693	0.975188522
1.694	0.977766191
1.695	0.980231907
1.696	0.98246011
1.697	0.984402993
1.698	0.986060054
1.699	0.987454816
1.7	0.988620472
1.701	0.989420949
1.702	0.990085209
1.703	0.990637266
1.704	0.991097253
1.705	0.991480472
1.706	0.991797783
1.707	0.992057106
1.708	0.992264968
1.709	0.992427402
1.71	0.992550231
1.711	0.992639093
1.712	0.992699412
1.713	0.992736402
1.714	0.992755089
1.715	0.992760324
1.716	0.992756782
1.717	0.99274891
1.718	0.992740838
1.719	0.992736253
1.72	0.992738249
1.721	0.99274917
1.722	0.992770478
1.723	0.992802667
1.724	0.992845234
1.725	0.992896723
1.726	0.992954834
1.727	0.993016573
1.728	0.993078438
1.729	0.99313659
1.73	0.993187016
1.731	0.993225647
1.732	0.993248432
1.733	0.993251366
1.734	0.993230482
1.735	0.993181804
1.736	0.993101286
1.737	0.992984739
1.738	0.992827769
1.739	0.992625742
1.74	0.992373809
1.741	0.992067034
1.742	0.991700681
1.743	0.991270771
1.744	0.990775009
1.745	0.99021424
1.746	0.989594562
1.747	0.9889301
1.748	0.988246144
1.749	0.987581784
1.75	0.98699039
1.751	0.986535756
1.752	0.98628231
1.753	0.986280356
1.754	0.986551186
1.755	0.987079113
1.756	0.987815098
1.757	0.988690321
1.758	0.989632973
1.759	0.990581403
1.76	0.991490545
1.761	0.992332429
1.762	0.993093324
1.763	0.993769875
1.764	0.994365632
1.765	0.994888383
1.766	0.995348052
1.767	0.995754688
1.768	0.996116595
1.769	0.996439412
1.77	0.996726706
1.771	0.996981275
1.772	0.997206026
1.773	0.997404122
1.774	0.997578781
1.775	0.997733047
1.776	0.997869652
1.777	0.997990978
1.778	0.998099062
1.779	0.998195636
1.78	0.998282169
1.781	0.998359905
1.782	0.998429902
1.783	0.998493062
1.784	0.998550155
1.785	0.998601844
1.786	0.998648699
1.787	0.998691212
1.788	0.998729811
1.789	0.998764867
1.79	0.998796704
1.791	0.998825604
1.792	0.998851815
1.793	0.998875553
1.794	0.998897009
1.795	0.99891635
1.796	0.998933722
1.797	0.998949254
1.798	0.998963058
1.799	0.998975233
1.8	0.998985864
1.801	0.998995023
1.802	0.99900278
1.803	0.999009188
1.804	0.99901429
1.805	0.999018123
1.806	0.999020713
1.807	0.999022078
1.808	0.99902223
1.809	0.999021171
1.81	0.999018894
1.811	0.999015385
1.812	0.999010618
1.813	0.999004556
1.814	0.998997151
1.815	0.998988337
1.816	0.998978034
1.817	0.998966135
1.818	0.998952511
1.819	0.998936995
1.82	0.998919378
1.821	0.998899395
1.822	0.998876706
1.823	0.998850878
1.824	0.998821355
1.825	0.998787426
1.826	0.998748193
1.827	0.998702562
1.828	0.998649275
1.829	0.998587096
1.83	0.998515245
1.831	0.998434268
1.832	0.998347253
1.833	0.998260718
1.834	0.998183651
1.835	0.998123835
1.836	0.998083542
1.837	0.998058507
1.838	0.998040991
1.839	0.998023623
1.84	0.998001323
1.841	0.997971313
1.842	0.997932384
1.843	0.997884159
1.844	0.997826616
1.845	0.997759818
1.846	0.997683785
1.847	0.997598438
1.848	0.997503588
1.849	0.99739893
1.85	0.997284058
1.851	0.997158468
1.852	0.997021578
1.853	0.996872735
1.854	0.996711231
1.855	0.996536323
1.856	0.996347256
1.857	0.996143289
1.858	0.995923735
1.859	0.995688008
1.86	0.995435675
1.861	0.995166537
1.862	0.994880706
1.863	0.994578702
1.864	0.994261567
1.865	0.993930966
1.866	0.993589303
1.867	0.9932398
1.868	0.992886552
1.869	0.992534521
1.87	0.992189449
1.871	0.991857689
1.872	0.991545918
1.873	0.991260775
1.874	0.991008425
1.875	0.990794099
1.876	0.990621679
1.877	0.990493367
1.878	0.990409502
1.879	0.990368536
1.88	0.990367171
1.881	0.990400627
1.882	0.990462988
1.883	0.990547565
1.884	0.990647233
